job_role_mapped,domain_level,ai_dependency,automation_risk_score,job_growth_rate,high_domain,high_ai,skill_group
Civil Engineer,0.0469392415652272,0.913898623561729,0.8674607363964899,-0.0456044542915073,False,True,Technical-only
Data Analyst,0.0748056055930302,0.6827530698961284,0.7064206771619143,-0.0235835782049604,False,True,Technical-only
Doctor,0.032432638591473,0.8401867100484041,0.7778511956910956,-0.0058788341390605,False,True,Technical-only
Electrician,0.0827577784835085,0.7785496698858271,0.561235778867926,0.1454370405261088,False,True,Technical-only
Graphic Designer,0.0581745141587125,0.9771699820708328,0.2838542716165727,-0.0174049423906411,False,True,Technical-only
Lawyer,0.0134273488673828,0.7483814426716626,0.5596681731860392,0.148931963864667,False,True,Technical-only
Nurse,0.4647972263015141,0.9366221359880098,0.0240097351583613,0.1249047980458959,True,True,Tech+Domain
Plumber,0.447311156214952,0.9375001361322068,0.5713248888545308,0.1164961918959026,True,True,Tech+Domain
Product Manager,0.9426208646664164,0.9690482846707164,0.4235048110968108,0.1499022173730563,True,True,Tech+Domain
Sales Manager,0.7133963317512565,0.7022653689672754,0.0735312193423177,-0.0984288458347519,True,True,Tech+Domain
